,metro,price,minutes,way,provider,fee_percent,views,storey,storeys,rooms,total_area,living_area,kitchen_area
788, Tekstilshchiki ,45000,15,walk,owner,0,23,3,7,1,5,10,4
789, Nekrasovka ,45000,10,walk,developer,50,6,12,23,1,44,21,11
790, Oktiabrskaia ,110000,4,walk,developer,50,30,3,14,3,79,57,10
791,No data,50000,0,walk,developer,50,17,4,12,2,64,64,64
792, Dmitrovskaia ,46490,15,walk,agency,0,7,40,47,1,64,64,64
793, Iugo-Zapadnaia ,37000,18,walk,developer,60,13,3,16,1,64,64,64
794, Rasskazovka ,65000,24,walk,owner,0,2,8,11,2,64,64,64
795, Belomorskaia ,50000,9,walk,developer,50,18,7,12,2,45,30,6
796, Mezhdunarodnaia ,270000,6,walk,developer,0,21,30,77,2,64,64,64
797, Miakinino ,65000,19,walk,developer,0,6,7,17,3,81,52,10
798, Bulvar Admirala Ushakova ,41000,12,transport,developer,50,48,7,15,1,40,20,10
799, Kievskaia ,100000,11,walk,developer,50,20,8,9,3,75,48,10
800, Domodedovskaia ,40000,11,walk,developer,50,43,2,12,1,33,18,8
